Account name,Date,Transaction type,Transaction number,Name,Description,Full name,Account name,Amount line,Balance
PayPal Fees,11/25/2023,Deposit,4T684250T6132730G,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$21.87,"$5,302.58"
PayPal Bank 3,11/25/2023,Deposit,5WA587425V526970D,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 5WA587425V526970Dhttps://www.paypal.com/activity/payment/5WA587425V526970D,PayPal Bank 3,--,$196.93,"$5,499.51"
Donations directed by individuals,11/25/2023,Deposit,5WA587425V526970D,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$204.56,"$5,704.07"
PayPal Fees,11/25/2023,Deposit,5WA587425V526970D,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$7.63,"$5,711.70"
PayPal Bank 3,11/25/2023,Deposit,051305330K786521L,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 051305330K786521Lhttps://www.paypal.com/activity/payment/051305330K786521L,PayPal Bank 3,--,$9.84,"$5,721.54"
Donations directed by individuals,11/25/2023,Deposit,051305330K786521L,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.70,"$5,732.24"
PayPal Fees,11/25/2023,Deposit,051305330K786521L,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.86,"$5,733.10"
PayPal Bank 3,11/25/2023,Deposit,9MW02123YE491364N,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 9MW02123YE491364Nhttps://www.paypal.com/activity/payment/9MW02123YE491364N,PayPal Bank 3,--,$29.53,"$5,762.63"
Donations directed by individuals,11/25/2023,Deposit,9MW02123YE491364N,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$31.11,"$5,793.74"
PayPal Fees,11/25/2023,Deposit,9MW02123YE491364N,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.58,"$5,795.32"
PayPal Bank 3,11/25/2023,Deposit,9WG817616W512203H,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 9WG817616W512203Hhttps://www.paypal.com/activity/payment/9WG817616W512203H,PayPal Bank 3,--,$100.00,"$5,895.32"
Donations directed by individuals,11/25/2023,Deposit,9WG817616W512203H,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53,"$5,997.85"
PayPal Fees,11/25/2023,Deposit,9WG817616W512203H,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53,"$6,000.38"
PayPal Bank 3,11/25/2023,Deposit,3LT71298P6952171J,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 3LT71298P6952171Jhttps://www.paypal.com/activity/payment/3LT71298P6952171J,PayPal Bank 3,--,$19.69,"$6,020.07"
Donations directed by individuals,11/25/2023,Deposit,3LT71298P6952171J,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.91,"$6,040.98"
PayPal Fees,11/25/2023,Deposit,3LT71298P6952171J,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.22,"$6,042.20"
PayPal Bank 3,11/24/2023,Deposit,23T29475VW450432F,10 Flight to Recovery RESTR,Subject: Flight to RecoveryTransaction ID: 23T29475VW450432Fhttps://www.paypal.com/activity/payment/23T29475VW450432F,PayPal Bank 3,--,$50.00,"$6,092.20"
Donations directed by individuals,11/24/2023,Deposit,23T29475VW450432F,10 Flight to Recovery RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52,"$6,143.72"
PayPal Fees,11/24/2023,Deposit,23T29475VW450432F,10 Flight to Recovery RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52,"$6,145.24"
PayPal Bank 3,11/24/2023,Deposit,82400142N47206118,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 82400142N47206118https://www.paypal.com/activity/payment/82400142N47206118,PayPal Bank 3,--,"$10,000.00","$16,145.24"
Donations directed by individuals,11/24/2023,Deposit,82400142N47206118,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,"$10,203.54","$26,348.78"
PayPal Fees,11/24/2023,Deposit,82400142N47206118,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$203.54,"$26,552.32"
PayPal Bank 3,11/24/2023,Deposit,5KF19005WF2695508,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 5KF19005WF2695508https://www.paypal.com/activity/payment/5KF19005WF2695508,PayPal Bank 3,--,$25.00,"$26,577.32"
Donations directed by individuals,11/24/2023,Deposit,5KF19005WF2695508,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.01,"$26,603.33"
PayPal Fees,11/24/2023,Deposit,5KF19005WF2695508,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.01,"$26,604.34"
PayPal Bank 3,11/23/2023,Deposit,23H353613M979391X,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 23H353613M979391Xhttps://www.paypal.com/activity/payment/23H353613M979391X,PayPal Bank 3,--,$78.76,"$26,683.10"
Donations directed by individuals,11/23/2023,Deposit,23H353613M979391X,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$82.12,"$26,765.22"
PayPal Fees,11/23/2023,Deposit,23H353613M979391X,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.36,"$26,768.58"
PayPal Bank 3,11/23/2023,Deposit,6F032898JR0993712,08 VICTORY DRONES RESTR,Subject: VICTORY DRONESTransaction ID: 6F032898JR0993712https://www.paypal.com/activity/payment/6F032898JR0993712,PayPal Bank 3,--,$2.97,"$26,771.55"
Donations directed by individuals,11/23/2023,Deposit,6F032898JR0993712,08 VICTORY DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$3.59,"$26,775.14"
PayPal Fees,11/23/2023,Deposit,6F032898JR0993712,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.62,"$26,775.76"
PayPal Bank 3,11/23/2023,Deposit,2SE16079PR916784A,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 2SE16079PR916784Ahttps://www.paypal.com/activity/payment/2SE16079PR916784A,PayPal Bank 3,--,$50.47,"$26,826.23"
Donations directed by individuals,11/23/2023,Deposit,2SE16079PR916784A,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$26,878.22"
PayPal Fees,11/23/2023,Deposit,2SE16079PR916784A,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52,"$26,879.74"
PayPal Bank 3,11/23/2023,Deposit,4G737420JA1618043,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 4G737420JA1618043https://www.paypal.com/activity/payment/4G737420JA1618043,PayPal Bank 3,--,$500.00,"$27,379.74"
Donations directed by individuals,11/23/2023,Deposit,4G737420JA1618043,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$510.65,"$27,890.39"
PayPal Fees,11/23/2023,Deposit,4G737420JA1618043,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$10.65,"$27,901.04"
PayPal Bank 3,11/23/2023,Deposit,9XM84196GG2949641,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 9XM84196GG2949641https://www.paypal.com/activity/payment/9XM84196GG2949641,PayPal Bank 3,--,$50.00,"$27,951.04"
Donations directed by individuals,11/23/2023,Deposit,9XM84196GG2949641,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52,"$28,002.56"
PayPal Fees,11/23/2023,Deposit,9XM84196GG2949641,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52,"$28,004.08"
PayPal Bank 3,11/23/2023,Deposit,2SR895994M1188117,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 2SR895994M1188117https://www.paypal.com/activity/payment/2SR895994M1188117,PayPal Bank 3,--,$28.46,"$28,032.54"
Donations directed by individuals,11/23/2023,Deposit,2SR895994M1188117,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$30.00,"$28,062.54"
PayPal Fees,11/23/2023,Deposit,2SR895994M1188117,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.54,"$28,064.08"
PayPal Bank 3,11/23/2023,Deposit,2WY669761D916612N,08 VICTORY DRONES RESTR,Subject: VictoryDronesTransaction ID: 2WY669761D916612Nhttps://www.paypal.com/activity/payment/2WY669761D916612N,PayPal Bank 3,--,$97.52,"$28,161.60"
Donations directed by individuals,11/23/2023,Deposit,2WY669761D916612N,08 VICTORY DRONES RESTR,VICTORY DRONES - VICTORY DRONES,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$28,261.60"
PayPal Fees,11/23/2023,Deposit,2WY669761D916612N,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.48,"$28,264.08"
Donations directed by individuals,11/23/2023,Journal Entry,19,--,--,Contributed income:Donations directed by individuals,--,$309.43,"$28,573.51"
PayPal Bank 3,11/23/2023,Journal Entry,19,--,--,PayPal Bank 3,--,$298.14,"$28,871.65"
PayPal Fees,11/23/2023,Journal Entry,19,--,--,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,--,$11.29,"$28,882.94"
PayPal Bank 3,11/22/2023,Deposit,1U426201N7447882M,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 1U426201N7447882Mhttps://www.paypal.com/activity/payment/1U426201N7447882M,PayPal Bank 3,--,$9.16,"$28,892.10"
Donations directed by individuals,11/22/2023,Deposit,1U426201N7447882M,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$28,902.10"
PayPal Fees,11/22/2023,Deposit,1U426201N7447882M,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84,"$28,902.94"
PayPal Bank 3,11/22/2023,Deposit,6EY05401BP0464255,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 6EY05401BP0464255https://www.paypal.com/activity/payment/6EY05401BP0464255,PayPal Bank 3,--,$9.16,"$28,912.10"
Donations directed by individuals,11/22/2023,Deposit,6EY05401BP0464255,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$28,922.10"
PayPal Fees,11/22/2023,Deposit,6EY05401BP0464255,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84,"$28,922.94"
PayPal Bank 3,11/22/2023,Deposit,5FP24855065411035,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 5FP24855065411035https://www.paypal.com/activity/payment/5FP24855065411035,PayPal Bank 3,--,$500.00,"$29,422.94"
Donations directed by individuals,11/22/2023,Deposit,5FP24855065411035,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$510.65,"$29,933.59"
PayPal Fees,11/22/2023,Deposit,5FP24855065411035,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$10.65,"$29,944.24"
PayPal Bank 3,11/22/2023,Deposit,4N2931039J953594P,07 1000 DRONES RESTR,Subject: 1000 DRONES FOR UKRAINETransaction ID: 4N2931039J953594Phttps://www.paypal.com/activity/payment/4N2931039J953594P,PayPal Bank 3,--,$157.55,"$30,101.79"
Donations directed by individuals,11/22/2023,Deposit,4N2931039J953594P,07 1000 DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$163.75,"$30,265.54"
PayPal Fees,11/22/2023,Deposit,4N2931039J953594P,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$6.20,"$30,271.74"
PayPal Bank 3,11/22/2023,Deposit,6C096253HR694951W,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 6C096253HR694951Whttps://www.paypal.com/activity/payment/6C096253HR694951W,PayPal Bank 3,--,$19.87,"$30,291.61"
Donations directed by individuals,11/22/2023,Deposit,6C096253HR694951W,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$21.10,"$30,312.71"
PayPal Fees,11/22/2023,Deposit,6C096253HR694951W,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.23,"$30,313.94"
PayPal Bank 3,11/21/2023,Deposit,4CY7547329935040W,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 4CY7547329935040Whttps://www.paypal.com/activity/payment/4CY7547329935040W,PayPal Bank 3,--,$50.47,"$30,364.41"
Donations directed by individuals,11/21/2023,Deposit,4CY7547329935040W,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$30,416.40"
PayPal Fees,11/21/2023,Deposit,4CY7547329935040W,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52,"$30,417.92"
PayPal Bank 3,11/21/2023,Deposit,48N97635X10033144,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 48N97635X10033144https://www.paypal.com/activity/payment/48N97635X10033144,PayPal Bank 3,--,$24.84,"$30,442.76"
Donations directed by individuals,11/21/2023,Deposit,48N97635X10033144,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.25,"$30,469.01"
PayPal Fees,11/21/2023,Deposit,48N97635X10033144,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.41,"$30,470.42"
PayPal Bank 3,11/21/2023,Deposit,10R01838R4978223D,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 10R01838R4978223Dhttps://www.paypal.com/activity/payment/10R01838R4978223D,PayPal Bank 3,--,$34.46,"$30,504.88"
Donations directed by individuals,11/21/2023,Deposit,10R01838R4978223D,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$36.21,"$30,541.09"
